side,price,born_ts,max_size,dist_bps,fate,life_ms,eaten_frac,fwd_bps,fwd_10s,fwd_30s,fwd_60s,fwd_300s,fwd_900s
-1,1880.67,1786492813899,116.62,0.50511361068395,съедена,1101,0.953,0.9038875138578373,1.3292463439074087,-0.6380382450776878,0.9038875138578373,-1.2760764901531552,-2.0736242964991547
-1,1880.76,1786492814198,63.19,0.026584926877529974,съедена,802,0.697,0.9038875138578373,1.3292463439074087,-0.6380382450776878,0.9038875138578373,-1.2760764901531552,-2.0736242964991547
1,1883.01,1786492814899,83.06,11.723703414230368,ушла,101,0.0,-1.1165431823079164,-1.0102057363736705,0.42534978373920396,-1.1165431823079164,1.0633744593424588,1.8609053038476375
1,1883.02,1786492814899,73.84,11.776872137197348,ушла,101,0.0,-1.1165431823079164,-1.0102057363736705,0.42534978373920396,-1.1165431823079164,1.0633744593424588,1.8609053038476375
1,1883.04,1786492814899,58.87,11.883209583131306,ушла,101,0.0,-1.1165431823079164,-1.0102057363736705,0.42534978373920396,-1.1165431823079164,1.0633744593424588,1.8609053038476375
-1,1880.8,1786492814899,90.36,0.026584361482885076,снята,101,0.0,1.1165431823079164,1.0102057363736705,-0.42534978373920396,1.1165431823079164,-1.0633744593424588,-1.8609053038476375
-1,1880.61,1786492803343,73.87,4.491204945109117,съедена,11755,2.238,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
-1,1880.6,1786492804198,77.19,3.26916381168679,съедена,10900,2.086,3.9336280010537905,2.39207108172268,3.508370919859116,3.9336280010537905,3.986785136201876,0.21262854059678205
1,1882.81,1786492813899,52.65,10.873235093167265,ушла,1199,0.0,-0.9038875138578373,-1.3292463439074087,0.6380382450776878,-0.9038875138578373,1.2760764901531552,2.0736242964991547
1,1882.84,1786492813899,72.97,11.03274465443607,ушла,1199,0.0,-0.9038875138578373,-1.3292463439074087,0.6380382450776878,-0.9038875138578373,1.2760764901531552,2.0736242964991547
-1,1878.52,1786492815098,93.09,11.033741980595602,ушла,99,0.0,-0.0,-0.10634932029462973,-1.5420651442776823,-0.0,-2.180161066047681,-2.9777809682585143
-1,1880.59,1786492803343,103.28,4.597505653868995,съедена,14055,2.942,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
1,1882.7,1786492803343,69.74,6.617219120309112,ушла,14955,0.179,-5.20873472923844,-4.4646297679196145,-4.783531894199111,-5.20873472923844,-5.261885083617246,-1.0098567332195163
-1,1880.55,1786492803343,92.19,4.810107071388754,съедена,14955,3.532,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
-1,1880.52,1786492803346,57.27,4.172635484410314,съедена,14952,2.379,4.41183114912258,3.667666858909735,3.98659441185778,4.41183114912258,4.464985741279293,0.21261836863240013
1,1881.35,1786492803346,64.18,0.23919566471185036,съедена,15051,3.564,-4.41183114912258,-3.667666858909735,-3.98659441185778,-4.41183114912258,-4.464985741279293,-0.21261836863240013
-1,1879.55,1786492817398,124.87,5.503606590502859,ушла,999,0.021,1.3825485154894679,-0.1595248287089568,-1.5952482871028906,1.3825485154894679,-3.669071060334872,-3.030971745494604
-1,1878.45,1786492818698,51.62,11.14038749405107,ушла,104,0.0,1.3294018489318216,1.7548104405895604,-1.8079865145481655,1.3294018489318216,-3.881853398881585,-2.8183319197339074
1,1881.34,1786492806499,86.69,1.249265724135016,съедена,12999,1.203,-3.349095345555053,-2.711172422593666,-2.9238133969144986,-3.349095345555053,-3.4022555891344286,0.3721217050633996
-1,1880.53,1786492803343,58.84,4.916407780148632,съедена,16356,3.946,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
-1,1880.5,1786492803343,92.64,5.075858843288452,съедена,16356,2.925,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
-1,1880.49,1786492803343,78.54,5.12900919766839,съедена,16356,2.06,5.20873472923844,4.4646297679196145,4.783531894199111,5.20873472923844,5.261885083617246,1.0098567332195163
