trades,net_r,pf,win_rate,avg_r,tag,symbols,positive_symbols,years,positive_years,months,positive_months,worst_month_r,top_symbol_frac
98,-30.2831,0.5646978495860165,0.4286,-0.309,bos_long_rr1.5_sl0.8_h6_b0.2_cd20,4,1,1,0,4,0,-10.8287,0.3265
130,-30.3657,0.6404481476964464,0.4538,-0.2336,bos_long_rr1.5_sl1.0_h6_b0.1_cd10,4,0,1,0,4,1,-11.1712,0.3462
63,-30.6495,0.42511347863600557,0.2698,-0.4865,choch_long_rr2.0_sl1.0_h6_b0.2_cd5,4,0,1,0,4,1,-13.7437,0.3175
61,-31.0417,0.3482290395933374,0.3934,-0.5089,choch_long_rr1.0_sl1.0_h12_b0.2_cd10,4,0,1,0,4,1,-16.6318,0.3115
97,-31.1903,0.5309863327213207,0.3918,-0.3215,bos_long_rr1.5_sl1.0_h6_b0.2_cd20,4,0,1,0,4,1,-13.7143,0.3196
69,-31.3262,0.39665645885094664,0.4203,-0.454,choch_long_rr1.0_sl1.0_h12_b0.1_cd5,4,0,1,0,4,1,-16.8872,0.2899
66,-31.3457,0.37825395314148796,0.4091,-0.4749,choch_long_rr1.0_sl1.0_h12_b0.1_cd10,4,0,1,0,4,1,-17.5394,0.2879
69,-31.6194,0.48367554221628556,0.2899,-0.4583,choch_long_rr2.0_sl1.0_h12_b0.1_cd5,4,1,1,0,4,1,-14.3458,0.2899
63,-31.7809,0.35315404796456895,0.3968,-0.5045,choch_long_rr1.0_sl1.0_h12_b0.2_cd5,4,0,1,0,4,1,-15.9796,0.3175
57,-31.8524,0.43992727515697555,0.2807,-0.5588,choch_long_rr2.0_sl0.8_h12_b0.2_cd20,4,0,1,0,4,1,-12.2899,0.3158
62,-31.9005,0.32388697432506325,0.371,-0.5145,choch_long_rr1.0_sl1.0_h6_b0.2_cd10,4,0,1,0,4,1,-16.8045,0.3065
96,-31.9365,0.5660506827909504,0.4062,-0.3327,bos_long_rr1.5_sl0.8_h12_b0.2_cd20,4,1,1,0,4,0,-11.411,0.3229
