trades,net_r,pf,win_rate,avg_r,tag,month
64,-20.0847,0.5798733639708573,0.3906,-0.3138,bos_short_rr1.5_sl1.0_h6_b0.2_cd5,2026-05
62,-12.383,0.7188991142246174,0.4355,-0.1997,bos_short_rr1.5_sl1.0_h6_b0.2_cd5,2026-06
3,0.6963,1.519937275985663,0.6667,0.2321,bos_short_rr1.5_sl1.0_h6_b0.2_cd5,2026-07
54,-19.3738,0.6035742932442829,0.3519,-0.3588,bos_short_rr2.0_sl0.8_h12_b0.1_cd0,2026-04
95,-33.7672,0.6057550294628273,0.3368,-0.3554,bos_short_rr2.0_sl0.8_h12_b0.1_cd0,2026-05
97,-25.323,0.697090040443019,0.3608,-0.2611,bos_short_rr2.0_sl0.8_h12_b0.1_cd0,2026-06
4,0.5795,1.2309961334555746,0.5,0.1449,bos_short_rr2.0_sl0.8_h12_b0.1_cd0,2026-07
28,-10.1636,0.5934137150263628,0.3571,-0.363,bos_short_rr2.0_sl0.8_h12_b0.1_cd10,2026-04
53,-12.3351,0.7254773228525201,0.3774,-0.2327,bos_short_rr2.0_sl0.8_h12_b0.1_cd10,2026-05
53,-7.3931,0.8298939065890198,0.4151,-0.1395,bos_short_rr2.0_sl0.8_h12_b0.1_cd10,2026-06
2,0.0158,1.0110955056179776,0.5,0.0079,bos_short_rr2.0_sl0.8_h12_b0.1_cd10,2026-07
22,-7.8976,0.5928946256069775,0.3636,-0.359,bos_short_rr2.0_sl0.8_h12_b0.1_cd20,2026-04
